player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name,batting_style
37,38,SK Warne,1969-09-13,Right-hand bat,Legbreak googly,Australia,Right-Handed
38,39,SK Trivedi,1982-09-04,Right-hand bat,Right-arm medium,India,Right-Handed
39,40,G Gambhir,1981-10-14,Left-hand bat,Legbreak,India,Left-Handed
40,41,V Sehwag,1978-10-20,Right-hand bat,Right-arm offbreak,India,Right-Handed
41,42,S Dhawan,1985-12-05,Left-hand bat,Right-arm offbreak,India,Left-Handed
42,43,L Ronchi,1981-04-23,Right-hand bat,N/A,Australia,Right-Handed
43,44,ST Jayasuriya,1969-06-30,Left-hand bat,Slow left-arm orthodox,Sri Lanka,Left-Handed
44,45,DJ Thornely,1978-10-01,Right-hand bat,Right-arm medium,Australia,Right-Handed
45,46,RV Uthappa,1985-11-11,Right-hand bat,Right-arm medium,India,Right-Handed
46,47,PR Shah,1987-11-03,Right-hand bat,N/A,India,Right-Handed
47,48,AM Nayar,1983-10-08,Left-hand bat,Right-arm medium,India,Left-Handed
48,49,SM Pollock,1973-07-16,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
49,50,Harbhajan Singh,1980-07-03,Right-hand bat,Right-arm offbreak,India,Right-Handed
50,51,S Chanderpaul,1974-08-16,Left-hand bat,Legbreak,West Indies,Left-Handed
51,52,LRPL Taylor,1984-03-08,Right-hand bat,Right-arm offbreak,New Zealand,Right-Handed
52,53,AC Gilchrist,1971-11-14,Left-hand bat,Right-arm offbreak,Australia,Left-Handed
53,54,Y Venugopal Rao,1982-02-26,Right-hand bat,Right-arm offbreak,India,Right-Handed
54,55,VVS Laxman,1974-11-01,Right-hand bat,Right-arm offbreak,India,Right-Handed
55,56,A Symonds,1975-06-09,Right-hand bat,Right-arm offbreak,Australia,Right-Handed
56,57,RG Sharma,1987-04-30,Right-hand bat,Right-arm offbreak,India,Right-Handed
57,58,SB Styris,1975-07-10,Right-hand bat,Right-arm medium,New Zealand,Right-Handed
58,59,SB Bangar,1972-10-11,Right-hand bat,Right-arm medium-fast,India,Right-Handed
59,60,WPUJC Vaas,1974-01-27,Left-hand bat,Left-arm fast-medium,Sri Lanka,Left-Handed
60,61,RP Singh,1985-12-06,Right-hand bat,Left-arm fast-medium,India,Right-Handed
61,62,WP Saha,1984-10-24,Right-hand bat,N/A,India,Right-Handed
62,63,LR Shukla,1981-05-06,Right-hand bat,Right-arm medium,India,Right-Handed
63,64,DPMD Jayawardene,1977-05-27,Right-hand bat,Right-arm medium,Sri Lanka,Right-Handed
64,65,S Sohal,1987-11-10,Right-hand bat,Legbreak,India,Right-Handed
65,66,B Lee,1976-11-08,Right-hand bat,Right-arm fast,Australia,Right-Handed
66,67,PP Chawla,1988-12-24,Left-hand bat,Legbreak,India,Left-Handed
67,68,WA Mota,1981-09-20,Right-hand bat,Right-arm medium,India,Right-Handed
68,69,Kamran Akmal,1982-01-13,Right-hand bat,N/A,Pakistan,Right-Handed
69,70,Shahid Afridi,1980-03-01,Right-hand bat,Legbreak googly,Pakistan,Right-Handed
70,71,DJ Bravo,1983-10-07,Right-hand bat,Right-arm medium-fast,West Indies,Right-Handed
71,72,MA Khote,1980-04-22,Right-hand bat,Right-arm medium,India,Right-Handed
72,73,A Nehra,1979-04-29,Right-hand bat,Left-arm medium-fast,India,Right-Handed
73,74,GC Smith,1981-02-01,Left-hand bat,Right-arm offbreak,South Africa,Left-Handed
74,75,Pankaj Singh,1985-05-06,Right-hand bat,Right-arm medium-fast,India,Right-Handed
75,76,RR Sarwan,1980-06-23,Right-hand bat,Legbreak,West Indies,Right-Handed
76,77,S Sreesanth,1983-02-06,Right-hand bat,Right-arm fast-medium,India,Right-Handed
77,78,VRV Singh,1984-09-17,Right-hand bat,Right-arm medium-fast,India,Right-Handed
78,79,SS Tiwary,1989-12-30,Left-hand bat,N/A,India,Left-Handed
79,80,DS Kulkarni,1988-12-10,Right-hand bat,Right-arm medium,India,Right-Handed
80,81,R Vinay Kumar,1984-02-12,Right-hand bat,Right-arm medium,India,Right-Handed
81,82,AB Agarkar,1977-12-04,Right-hand bat,Right-arm fast,India,Right-Handed
82,83,M Kartik,1976-09-11,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
83,84,I Sharma,1988-09-02,Right-hand bat,Right-arm fast-medium,India,Right-Handed
84,85,AM Rahane,1988-06-06,Right-hand bat,Right-arm medium,India,Right-Handed
85,86,Shoaib Malik,1982-02-01,Right-hand bat,Right-arm offbreak,Pakistan,Right-Handed
86,87,MK Tiwary,1985-11-14,Right-hand bat,Legbreak googly,India,Right-Handed
87,88,KD Karthik,1985-06-01,Right-hand bat,N/A,India,Right-Handed
88,89,R Bhatia,1979-10-22,Right-hand bat,Right-arm medium-fast,India,Right-Handed
89,90,MF Maharoof,1984-09-07,Right-hand bat,Right-arm fast-medium,India,Right-Handed
90,91,VY Mahesh,1987-12-21,Right-hand bat,Right-arm medium-fast,India,Right-Handed
91,92,TM Srivastava,1989-11-07,Left-hand bat,Right-arm medium,India,Left-Handed
92,93,B Chipli,1983-01-27,Right-hand bat,Right-arm medium,India,Right-Handed
93,94,DW Steyn,1983-06-27,Right-hand bat,Right-arm fast,South Africa,Right-Handed
94,95,DB Das,1986-09-22,Right-hand bat,Legbreak googly,India,Right-Handed
95,96,MK Pandey,1989-09-10,Right-hand bat,Right-arm medium,India,Right-Handed
96,97,HH Gibbs,1974-02-23,Right-hand bat,Right-arm bowler,South Africa,Right-Handed
97,98,DNT Zoysa,1978-05-13,Left-hand bat,Left-arm fast-medium,Sri Lanka,Left-Handed
98,99,D Kalyankrishna,1983-12-16,Right-hand bat,Right-arm medium-fast,India,Right-Handed
99,100,SE Marsh,1983-07-09,Left-hand bat,Slow left-arm orthodox,Australia,Left-Handed
100,101,SA Asnodkar,1984-03-29,Right-hand bat,Right-arm offbreak,India,Right-Handed
101,102,Sohail Tanvir,1984-12-12,Left-hand bat,Left-arm medium-fast,Pakistan,Left-Handed
102,103,Salman Butt,1984-10-07,Left-hand bat,Right-arm offbreak,Pakistan,Left-Handed
103,104,BJ Hodge,1974-12-29,Right-hand bat,Right-arm offbreak,Australia,Right-Handed
104,105,Umar Gul,1984-04-14,Right-hand bat,Right-arm fast-medium,Pakistan,Right-Handed
105,106,AB Dinda,1984-03-25,Right-hand bat,Right-arm medium-fast,India,Right-Handed
106,107,SP Fleming,1973-04-01,Left-hand bat,N/A,New Zealand,Left-Handed
107,108,S Vidyut,1981-12-03,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
108,109,JA Morkel,1981-06-10,Left-hand bat,Right-arm medium-fast,South Africa,Left-Handed
109,110,AB de Villiers,1984-02-17,Right-hand bat,Right-arm medium,South Africa,Right-Handed
110,111,LPC Silva,1979-12-14,Right-hand bat,Legbreak,Sri Lanka,Right-Handed
111,112,DB Ravi Teja,1987-09-05,Right-hand bat,Legbreak googly,India,Right-Handed
112,113,MisbahulHaq,1974-05-28,Right-hand bat,Legbreak,Pakistan,Right-Handed
113,114,YV Takawale,1984-11-05,Right-hand bat,N/A,India,Right-Handed
114,115,RR Raje,1986-09-03,Right-hand bat,Right-arm fast-medium,India,Right-Handed
115,116,PJ Sangwan,1990-11-05,Right-hand bat,Left-arm medium,India,Right-Handed
116,117,Mohammad Asif,1982-12-20,Left-hand bat,Right-arm fast-medium,Pakistan,Left-Handed
117,118,GD McGrath,1970-02-09,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
118,119,Joginder Sharma,1983-10-23,Right-hand bat,Right-arm fast-medium,India,Right-Handed
119,120,MS Gony,1984-01-04,Right-hand bat,Right-arm medium,India,Right-Handed
120,121,M Muralitharan,1972-04-17,Right-hand bat,Right-arm offbreak,Sri Lanka,Right-Handed
121,122,M Ntini,1977-07-06,Right-hand bat,Right-arm fast,South Africa,Right-Handed
122,123,DT Patil,1984-12-06,Right-hand bat,N/A,India,Right-Handed
123,124,A Kumble,1970-10-17,Right-hand bat,Legbreak googly,India,Right-Handed
124,125,S Anirudha,1987-04-14,Right-hand bat,N/A,India,Right-Handed
125,126,MM Patel,1983-07-12,Right-hand bat,Right-arm medium-fast,India,Right-Handed
126,127,CK Kapugedera,1987-02-24,Right-hand bat,Right-arm medium,Sri Lanka,Right-Handed
127,128,A Chopra,1977-09-19,Right-hand bat,Right-arm offbreak,India,Right-Handed
128,129,T Taibu,1983-05-14,Right-hand bat,Right-arm medium,Zimbabwea,Right-Handed
129,130,J Arunkumar,1975-01-18,Right-hand bat,Right-arm offbreak,India,Right-Handed
130,131,PP Ojha,1986-09-05,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
131,132,SP Goswami,1989-05-18,Left-hand bat,N/A,India,Left-Handed
132,133,SR Tendulkar,1973-04-24,Right-hand bat,Right-arm offbreak,India,Right-Handed
133,134,U Kaul,1987-12-02,Left-hand bat,N/A,India,Left-Handed
134,135,TM Dilshan,1976-10-14,Right-hand bat,Right-arm offbreak,Sri Lanka,Right-Handed
135,136,A Mishra,1982-11-24,Right-hand bat,Legbreak,India,Right-Handed
136,137,AD Mascarenhas,1977-10-30,Right-hand bat,Right-arm fast-medium,England,Right-Handed
137,138,NK Patel,1981-03-26,Left-hand bat,N/A,India,Left-Handed
138,139,LA Pomersbach,1984-09-28,Left-hand bat,Right-arm offbreak,Australia,Left-Handed
139,140,Iqbal Abdulla,1989-12-02,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
140,141,Younis Khan,1977-11-29,Right-hand bat,Right-arm medium,Pakistan,Right-Handed
141,142,PM Sarvesh Kumar,1989-04-26,Right-hand bat,Right-arm medium,India,Right-Handed
142,143,DP Vijaykumar,1986-10-20,Right-hand bat,Right-arm medium,India,Right-Handed
143,144,Shoaib Akhtar,1975-08-13,Right-hand bat,Right-arm fast,Pakistan,Right-Handed
144,145,Abdur Razzak,1982-06-15,Left-hand bat,Slow left-arm orthodox,Bangladesh,Left-Handed
145,146,H Das,1986-12-10,Right-hand bat,N/A,India,Right-Handed
146,147,DR Smith,1983-04-12,Right-hand bat,Right-arm medium,West Indies,Right-Handed
147,148,SD Chitnis,1987-05-06,Right-hand bat,Right-arm offbreak,India,Right-Handed
148,149,CRD Fernando,1979-07-19,Right-hand bat,Right-arm fast-medium,Sri Lanka,Right-Handed
149,150,VS Yeligati,1985-04-23,Right-hand bat,Right-arm offbreak,India,Right-Handed
150,151,L Balaji,1981-09-27,Right-hand bat,Right-arm medium-fast,India,Right-Handed
151,152,A Mukund,1990-01-06,Left-hand bat,Legbreak googly,India,Left-Handed
152,153,RR Powar,1978-05-20,Right-hand bat,Right-arm offbreak,India,Right-Handed
153,154,JP Duminy,1984-04-14,Left-hand bat,Right-arm offbreak,South Africa,Left-Handed
154,155,A Flintoff,1977-12-06,Right-hand bat,Right-arm fast-medium,England,Right-Handed
155,156,T Thushara,1981-03-01,Left-hand bat,Left-arm fast-medium,Sri Lanka,Left-Handed
156,157,JD Ryder,1984-08-06,Left-hand bat,Right-arm medium,New Zealand,Left-Handed
157,158,KP Pietersen,1980-06-27,Right-hand bat,Right-arm offbreak,South Africa,Right-Handed
158,159,T Henderson,1974-08-01,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
159,160,Kamran Khan,1991-03-10,Left-hand bat,Left-arm medium-fast,India,Left-Handed
160,161,RS Bopara,1985-05-04,Right-hand bat,Right-arm medium,England,Right-Handed
161,162,CH Gayle,1979-09-21,Left-hand bat,Right-arm offbreak,West Indies,Left-Handed
162,163,MC Henriques,1987-02-01,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
163,164,R Bishnoi,1987-10-08,Right-hand bat,Right-arm medium-fast,India,Right-Handed
164,165,FH Edwards,1982-02-06,Right-hand bat,Right-arm fast,West Indies,Right-Handed
165,166,KV Sharma,1987-10-23,Left-hand bat,Legbreak googly,India,Left-Handed
166,167,PC Valthaty,1983-12-07,Right-hand bat,Right-arm medium,India,Right-Handed
167,168,RJ Quiney,1982-08-20,Left-hand bat,Right-arm medium,Australia,Left-Handed
168,169,AS Raut,1987-03-03,Right-hand bat,Legbreak googly,India,Right-Handed
169,170,Yashpal Singh,1981-11-27,Right-hand bat,Right-arm medium,India,Right-Handed
170,171,M Manhas,1979-10-12,Right-hand bat,Right-arm offbreak,India,Right-Handed
171,172,AA Bilakhia,1986-05-31,Right-hand bat,Right-arm medium,India,Right-Handed
172,173,AN Ghosh,1986-10-19,Right-hand bat,Right-arm medium,India,Right-Handed
173,174,BAW Mendis,1985-03-11,Right-hand bat,Right-arm offbreak,Sri Lanka,Right-Handed
174,175,DL Vettori,1979-01-27,Left-hand bat,Slow left-arm orthodox,New Zealand,Left-Handed
175,176,MN van Wyk,1979-03-20,Right-hand bat,Slow left-arm orthodox,South Africa,Right-Handed
176,177,RE van der Merwe,1984-12-31,Right-hand bat,Slow left-arm orthodox,South Africa,Right-Handed
177,178,TL Suman,1983-12-15,Right-hand bat,Right-arm offbreak,India,Right-Handed
178,179,Shoaib Ahmed,1990-08-17,Right-hand bat,Right-arm fast-medium,Pakistan,Right-Handed
179,180,GR Napier,1980-01-06,Right-hand bat,Right-arm medium,England,Right-Handed
180,181,KP Appanna,1988-12-20,Right-hand bat,Slow left-arm orthodox,India,Right-Handed
181,182,LA Carseldine,1975-11-17,Left-hand bat,Left-arm medium,Australia,Left-Handed
182,183,NV Ojha,1983-07-20,Right-hand bat,N/A,India,Right-Handed
183,184,SM Harwood,1974-03-01,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
184,185,M Vijay,1984-04-01,Right-hand bat,Right-arm offbreak,India,Right-Handed
185,186,SB Jakati,1980-11-27,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
186,187,DA Warner,1986-10-27,Left-hand bat,Legbreak,Australia,Left-Handed
187,188,RJ Harris,1979-10-11,Right-hand bat,Right-arm fast,Australia,Right-Handed
188,189,D du Preez,1981-11-08,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
189,190,M Morkel,1984-10-06,Left-hand bat,Right-arm fast,South Africa,Left-Handed
190,191,AD Mathews,1987-06-02,Right-hand bat,Right-arm fast-medium,Sri Lanka,Right-Handed
191,192,J Botha,1982-05-02,Right-hand bat,Right-arm offbreak,South Africa,Right-Handed
192,193,C Nanda,1979-03-29,Right-hand bat,Legbreak,India,Right-Handed
193,194,SL Malinga,1983-08-28,Right-hand bat,Right-arm fast,Sri Lanka,Right-Handed
194,195,Mashrafe Mortaza,1983-10-05,Right-hand bat,Right-arm fast-medium,Bangladesh,Right-Handed
195,196,A Singh,1981-06-21,Right-hand bat,Right-arm medium-fast,India,Right-Handed
196,197,GJ Bailey,1982-09-07,Right-hand bat,Right-arm medium,Australia,Right-Handed
197,198,AB McDonald,1981-06-05,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
198,199,Y Nagar,1990-01-06,Right-hand bat,Right-arm offbreak,India,Right-Handed
199,200,SS Shaikh,1987-01-18,Right-hand bat,Right-arm medium,India,Right-Handed
200,201,R Ashwin,1986-09-17,Right-hand bat,Right-arm offbreak,India,Right-Handed
201,202,Mohammad Ashraful,1984-07-07,Right-hand bat,Right-arm offbreak,Bangladesh,Right-Handed
202,203,CA Pujara,1988-01-25,Right-hand bat,Legbreak,India,Right-Handed
203,204,OA Shah,1978-10-22,Right-hand bat,Right-arm offbreak,England,Right-Handed
204,205,Anirudh Singh,1980-08-02,Left-hand bat,Right-arm medium,India,Left-Handed
205,206,Jaskaran Singh,1989-09-04,Right-hand bat,Right-arm medium,India,Right-Handed
206,207,AP Tare,1987-11-07,Right-hand bat,N/A,India,Right-Handed
207,208,AT Rayudu,1985-09-23,Right-hand bat,Right-arm offbreak,India,Right-Handed
208,209,R Sathish,1981-01-14,Right-hand bat,Right-arm medium,India,Right-Handed
209,210,R McLaren,1983-02-09,Left-hand bat,Right-arm medium-fast,South Africa,Left-Handed
210,211,AA Jhunjhunwala,1982-12-01,Right-hand bat,Right-arm offbreak,India,Right-Handed
211,212,P Dogra,1984-11-19,Right-hand bat,Legbreak,India,Right-Handed
212,213,A Uniyal,1981-11-21,Left-hand bat,Left-arm medium,India,Left-Handed
213,214,MS Bisla,1984-12-27,Right-hand bat,N/A,India,Right-Handed
214,215,YA Abdulla,1983-01-17,Left-hand bat,Left-arm fast-medium,India,Left-Handed
215,216,EJG Morgan,1986-09-10,Left-hand bat,Right-arm medium,England,Left-Handed
216,217,JM Kemp,1977-10-02,Right-hand bat,Right-arm fast-medium,South Africa,Right-Handed
217,218,S Tyagi,1987-09-17,Right-hand bat,Right-arm medium,India,Right-Handed
218,219,RS Gavaskar,1976-02-20,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
219,220,SE Bond,1975-06-07,Right-hand bat,Right-arm fast,New Zealand,Right-Handed
220,221,KA Pollard,1987-05-12,Right-hand bat,Right-arm medium-fast,West Indies,Right-Handed
221,222,S Ladda,1986-07-10,Right-hand bat,Legbreak,India,Right-Handed
222,223,DP Nannes,1976-05-16,Right-hand bat,Left-arm fast,Australia,Right-Handed
223,224,MJ Lumb,1980-02-12,Left-hand bat,Right-arm medium,England,Left-Handed
224,225,DR Martyn,1971-10-21,Right-hand bat,Right-arm medium,Australia,Right-Handed
225,226,S Narwal,1982-04-16,Left-hand bat,Right-arm medium,India,Left-Handed
226,227,AB Barath,1990-04-14,Right-hand bat,Right-arm offbreak,India,Right-Handed
227,228,Bipul Sharma,1983-09-28,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
228,229,FY Fazal,1985-09-07,Left-hand bat,Right-arm medium,India,Left-Handed
229,230,AC Voges,1979-10-04,Right-hand bat,Slow left-arm orthodox,Australia,Right-Handed
230,231,MD Mishra,1984-02-09,Right-hand bat,Right-arm offbreak,India,Right-Handed
231,232,UT Yadav,1987-10-25,Right-hand bat,Right-arm fast-medium,India,Right-Handed
232,233,J Theron,1985-07-24,Right-hand bat,Right-arm medium-fast,South Africa,Right-Handed
233,234,SJ Srivastava,1981-09-22,Right-hand bat,Left-arm fast-medium,India,Right-Handed
234,235,R Sharma,1987-04-30,Right-hand bat,Right-arm offbreak,India,Right-Handed
235,236,Mandeep Singh,1991-12-18,Right-hand bat,Right-arm medium,India,Right-Handed
236,237,KM Jadhav,1985-03-26,Right-hand bat,Right-arm offbreak,India,Right-Handed
237,238,SW Tait,1983-02-22,Right-hand bat,Right-arm fast,Australia,Right-Handed
238,239,KB Arun Karthik,1986-02-15,Right-hand bat,Legbreak googly,India,Right-Handed
239,240,KAJ Roach,1988-06-30,Right-hand bat,Right-arm fast,West Indies,Right-Handed
240,241,PD Collingwood,1976-05-26,Right-hand bat,Right-arm medium,England,Right-Handed
241,242,CK Langeveldt,1974-12-17,Right-hand bat,Right-arm fast-medium,England,Right-Handed
242,243,VS Malik,1983-05-09,Right-hand bat,Right-arm medium,India,Right-Handed
243,244,A Mithun,1989-10-25,Right-hand bat,Right-arm medium,India,Right-Handed
244,245,AP Dole,1987-10-09,Right-hand bat,Right-arm medium-fast,India,Right-Handed
245,246,AN Ahmed,1988-11-05,Right-hand bat,Right-arm medium-fast,India,Right-Handed
246,247,RS Sodhi,1980-10-18,Right-hand bat,Right-arm medium,India,Right-Handed
247,248,DE Bollinger,1981-07-24,Left-hand bat,Left-arm fast-medium,Australia,Left-Handed
248,249,S Sriram,1976-02-21,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
249,250,B Sumanth,1988-05-10,Right-hand bat,Right-arm medium-fast,India,Right-Handed
250,251,C Madan,1982-10-15,Right-hand bat,N/A,India,Right-Handed
251,252,AG Paunikar,1988-04-18,Right-hand bat,N/A,India,Right-Handed
252,253,MR Marsh,1991-10-20,Right-hand bat,Right-arm medium,Australia,Right-Handed
253,254,AJ Finch,1986-11-17,Right-hand bat,Slow left-arm orthodox,Australia,Right-Handed
254,255,STR Binny,1984-06-03,Right-hand bat,Right-arm medium,India,Right-Handed
255,256,Harmeet Singh,1992-09-07,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
256,257,IR Jaggi,1989-01-27,Right-hand bat,Legbreak googly,India,Right-Handed
257,258,DT Christian,1983-05-04,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
258,259,RV Gomez,1985-10-16,Right-hand bat,Right-arm medium,India,Right-Handed
259,260,MA Agarwal,1991-02-16,Right-hand bat,N/A,India,Right-Handed
260,261,AUK Pathan,1984-06-17,Right-hand bat,Right-arm medium,India,Right-Handed
261,262,UBT Chand,1993-03-26,Right-hand bat,Right-arm offbreak,India,Right-Handed
262,263,DJ Jacobs,1982-11-04,Right-hand bat,Right-arm medium,South Africa,Right-Handed
263,264,Sunny Singh,1986-12-18,Right-hand bat,Right-arm medium-fast,India,Right-Handed
264,265,NJ Rimmington,1982-11-11,Right-hand bat,Right-arm fast-medium,Australia,Right-Handed
265,266,AL Menaria,1990-10-29,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
266,267,WD Parnell,1989-07-30,Left-hand bat,Left-arm medium-fast,South Africa,Left-Handed
267,268,JJ van der Wath,1978-01-10,Right-hand bat,Right-arm medium-fast,South Africa,Right-Handed
268,269,R Ninan,1985-11-19,Right-hand bat,Right-arm offbreak,India,Right-Handed
269,270,S Aravind,1984-04-08,Left-hand bat,Left-arm medium-fast,India,Left-Handed
270,271,MS Wade,1987-12-26,Left-hand bat,Right-arm medium,Australia,Left-Handed
271,272,TD Paine,1984-12-08,Right-hand bat,Right-arm medium,Australia,Right-Handed
272,273,SB Wagh,1988-10-09,Left-hand bat,Left-arm medium-fast,India,Left-Handed
273,274,AC Thomas,1977-02-09,Right-hand bat,Right-arm fast-medium,England,Right-Handed
274,275,JEC Franklin,1980-11-07,Left-hand bat,Left-arm medium,New Zealand,Left-Handed
275,276,Shakib Al Hasan,1987-03-24,Left-hand bat,Slow left-arm orthodox,Bangladesh,Left-Handed
276,277,DH Yagnik,1983-06-22,Left-hand bat,N/A,India,Left-Handed
277,278,S Randiv,1985-01-30,Right-hand bat,Right-arm offbreak,Sri Lanka,Right-Handed
278,279,BJ Haddin,1977-10-23,Right-hand bat,N/A,Australia,Right-Handed
279,280,NLTC Perera,1989-04-03,Left-hand bat,Right-arm medium-fast,Sri Lanka,Left-Handed
280,281,NL McCullum,1980-09-01,Right-hand bat,Right-arm offbreak,New Zealand,Right-Handed
281,282,JE Taylor,1984-06-22,Right-hand bat,Right-arm fast,New Zealand,Right-Handed
282,283,J Syed Mohammad,1983-06-03,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
283,284,RN ten Doeschate,1980-06-30,Right-hand bat,Right-arm medium-fast,Netherlands,Right-Handed
284,285,TR Birt,1981-12-09,Left-hand bat,Right-arm medium,Australia,Left-Handed
285,286,AG Murtaza,1990-01-01,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
286,287,Harpreet Singh,1991-08-11,Left-hand bat,Right-arm medium,India,Left-Handed
287,288,M Klinger,1980-07-04,Right-hand bat,N/A,Australia,Right-Handed
288,289,AC Blizzard,1984-06-27,Left-hand bat,Left-arm medium,Australia,Left-Handed
289,290,I Malhotra,1984-05-23,Right-hand bat,Right-arm medium-fast,India,Right-Handed
290,291,L Ablish,1982-12-03,Right-hand bat,Right-arm medium-fast,India,Right-Handed
291,292,CA Ingram,1985-07-03,Left-hand bat,Legbreak,South Africa,Left-Handed
292,293,S Nadeem,1989-08-12,Right-hand bat,Slow left-arm orthodox,India,Right-Handed
293,294,P Parameswaran,1985-05-30,Right-hand bat,Left-arm medium,India,Right-Handed
294,295,CJ Ferguson,1984-11-21,Right-hand bat,Right-arm medium,Australia,Right-Handed
295,296,VR Aaron,1989-10-29,Right-hand bat,Right-arm fast,India,Right-Handed
296,297,AA Chavan,1985-10-28,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
297,298,ND Doshi,1978-10-06,Right-hand bat,Slow left-arm orthodox,India,Right-Handed
298,299,B Kumar,1990-02-05,Right-hand bat,Right-arm medium,India,Right-Handed
299,300,Y Gnaneswara Rao,1984-08-25,Right-hand bat,Right-arm medium,India,Right-Handed
300,301,S Rana,1984-09-18,Right-hand bat,Right-arm medium-fast,India,Right-Handed
301,302,BA Bhatt,1990-05-13,Left-hand bat,Slow left-arm orthodox,India,Left-Handed
302,303,F du Plessis,1984-07-13,Right-hand bat,Legbreak,South Africa,Right-Handed
303,304,RE Levi,1988-01-14,Right-hand bat,Right-arm medium,South Africa,Right-Handed
